id,FalseSent,OptionA,OptionB,OptionC,label
1065,Tom wore pajamas for a job interview yesterday,Tom is an interviewer,Tom applied for a job as a pajama seller and there's an interview yesterday,a job interview is a serious occasion and pajamas are too casual,C
1066,she put the guitar on the top of the mountain,she is a famous guitarist,the mountain is not a proper place to put a guitar,she played a piece of guitar music on the top of the mountain,B
1067,he ate some sleeping pills in order not to fall asleep,he couldn't sleep after eating fake sleeping pills,he forgot to eat his sleeping pills,sleeping pills help you sleep quickly,C
1068,she got a bad grade after a semester of hard study,this semester she wasn't the 1st prize,she always gets a good grade in her study each semester,good grade can't be achieved in a short time,C
1069,her new song was popular on the theater screen,the singer was invited to play a part in the movie,she loves to go to the movie theater,a theater doesn't play a song,C
1070,it's 6 o'clock and the new year is coming,each day doesn't start at 6 o'clock,the new year festival started at 6 o'clock,"when the new year came in a country, some other countries are already 6 o'clock",A
1071,the bird built a nest on the bottom of the tree,the bird has been on this tree for a long time and it always builds a nest here,nests on the ground will be easily damaged,there are many nests on the tree,B
1072,she turned on the radio and the room became bright,a radio can't emit light,the radio played some bright music,music from the radio echoed in the room,A
1073,he used a surfboard to surf the internet,a video of him surfing on a surfboard was uploaded to the internet,he surfed the internet to buy a surfboard,the internet is virtual so it can't be surfed with a surfboard,C
1074,he pressed the accelerator to slow the car down,the car in front of his car slowed down,the accelerator on the car was broken so the car slowed down,an accelerator is a device to speed the car up,C
1075,I remember they built a snowman last summer,"to build a snowman people need snow, which won't occur in summer",last summer they printed the picture of the snowman they built,"in summer, they were planning to build a snowman this year",A
1076,he found he had more money after he paid the bill,after he had paid the bill they split it,paying the bill uses his money so he can't have more,he got his salary the day he paid the bill,B
1077,she walked to the gas station to refuel her car,her husband walked to the gas station for a ride later,when her car was being refueled she walked around the gas station,people refuel the oil tank in the car so the car needs to be driven to the gas station,C
1078,after one day of exercise he became strong,the condition of strong requires a long time to achieve,he exercised for a whole day yesterday,when he was at the gym the people around him are all strong,A
1079,he folded his umbrella when it started to rain,he bought a new umbrella today and he cherished it a lot,when umbrellas are folded they don't provide shelter from the rain,he likes rainy days,B
1080,she is a vegetarian and refuses to eat food,a vegetarian can have different degrees of severity,vegetarians also need food to live,she became a vegetarian this year,B
1081,he ran out of cola while driving to work so he walked there,he wanted to drink cola so he walked to a store to buy it,he found cola very refreshing when he drove to work,cola is a kind of drink and has nothing to do with the power of a car,C
1082,mark is a pilot and he assembled an aircraft,he flew the aircraft after the aircraft is assembled,a pilot is usually not in charge of the assembling work,he wanted to be an assembly work after he retires from his work as a pilot,B
1083,jim wrote a message with a finger on a piece of paper,he didn't have a piece of paper to write on,a finger doesn't contain any color ink,he wanted the message to be delivered as soon as possible,B
1084,the businessman went to the airport to catch a mouse,flights were unavailable because of a mouse bit the wire of the airport,the airport is in a rat disaster,businessmen are not good at catching a mouse especially at the airport,C
1085,he stretched his arms and caught the ball with his feet,his friend passed him a football,he is confident that he will catch the ball with his feet,feet aren't at the end of your arms,C
1086,the difference between the twins' birth time is one day,a pair of twins usually celebrate their birthday in one day,a pair of twins are delivered one by one closely and a day is too long,the next day the nurse found they forgot to record the twins' birth time,B
1087,he found enough evidence to commit a crime,he decided to commit a crime but he forgot one important evidence,as one of the group which committed a crime he helped find some evidence,evidence are not used to commit a crime,C
1088,jim cut his finger with the soap,he cut his finger when he was trying to cut the soap,soap is not sharp enough to cut one's finger,soap helps clean the wound on his finger,B
1089,tina told her dog to clean the apartment,tina told her dog not to mess up the apartment but it didn't understand,a dog isn't good at cleaning an apartment,tina told her daughter to take the dog away while she was cleaning her apartment,B
1090,jack had bad breath so he ate a garlic,garlic will cause bad breath after people eat it,he loves to eat garlic,the bad breath he had is worse than a bad breath caused by garlic,A
1091,susan cleaned her room and she had more trash,trash inspired her to clean her room,to clean a room is to sweep the dirt and get rid of trash,susan collected the trash thrown everywhere and put them in the trash can,B
1092,he ate hot pot at a fast food restaurant,hot pot is not served as fast food,he's still hungry after a meal of hot pot,he is a frequent guest of the fast food restaurant,A
1093,he felt hungry and went to a gym to eat,he went to a gym so that he could be inspired by other people who are working out,he wanted to lose weight,a gym doesn't serve any food and people eat before they work out,C
1094,he suspected there was a mouse in the garage so he brought a dog home,the dog regarded the garage as his home and defended its territory,he suspected that the mouse was attracted by the leftover of their dog's meal,a dog and a mouse don't infringe each other,C
1095,as a geographer he created the Earth's surface,Earth is created through billions of years,he created a new way of describing the Earth's surface,he was doing research on how the Earth's surface is created,A
1096,joe stole some money from his own pocket,the money in his pocket was stolen,he put the money he stole in his own pocket,to take money from one's own pocket is not stealing,C
1097,the child looked down to find stars in the sky,for a people on earth the stars are above our eye level,he had a book about stars in the sky,the meteor shower fell out of his horizon,A
1098,he felt like suiciding and the doctor lent him a gun,doctors helped us when we are in mental or physical illness,he tried to suicide with a gun,people are not allowed to use a gun to hurt anyone,A
1099,tom watched fictions on magazines,the tv was on but he was reading magazines,the fiction was the original idea of the tv series,fictions are published on books,C
1100,john got up early to take a good rest,to take a good rest one should sleep long enough,he got up early to rest at work,john slept early last night to take a good rest,A
1101,susan disconnected the phone to wait for another call,there won't be another call today,the quality of the call was terrible so she disconnected the phone to restart,if a phone is disconnected it will not ring,C
1102,she bent her eyebrows to jump up,her fake eyebrows will bend if she moves a little,she's so happy to jump up that her eyebrows bent,"people use their leg to jump up, not their eyebrows",C
1103,anne dropped a waterfall on the floor,anne blocked the sink and a small waterfall formed,a waterfall falls from the cliff of a mountain,the waterfall is as high as a 20-floor building,B
1104,the experienced singer captain the ship,the singer hired a ship to go on vacation,the captain of the ship invited the experienced singer to perform,a singer doesn't know how to lead on a ship,C
1105,he looked through a magnifier to observe a cell,he was interested in biology experiments like observing a cell,magnifier is made of glass that has a special curve,a magnifier isn't accurate enough to observe a cell,C
1106,he put on his shoes to see well enough,the shoes he put on are good enough on this occasion,he can't see his shoes well enough to put them on,shoes are worn on the feet and have nothing to do with eyes,C
1107,josh stepped into a seashell when he walked along the beach,walking along the beach is like stepping into a new world,josh found a huge number of seashells on the beach,seashell isn't big enough for josh to step into,C
1108,he walked barefoot over broken glass,after he passed barefoot the glass was broken,if people walk barefoot they are fragile to sharp things,the glass has a pattern of broken effect on it,B
1109,jefferson forgot to shut up before he did some exercises,people can talk or keep silent when they do some exercises,jefferson was speaking too loudly that many people asked him to shut up,people tend to grit their teeth when they exert their maximum strength,A
1110,he received a degree from his family,receiving a degree is for the next level of learning,a degree is granted from a professional institution and family is not one,everyone in his family received at least a bachelor degree,B
1111,james liked his car for a long time everyday,his car has been broken for a long time,james bought his new car recently,the emotion of like doesn't have an accurate time period,C
1112,tony used his drakes to stop his bicycle,tony rode his bicycle to drive his drakes to the corner,drakes don't provide friction to stop the wheels,tony stopped his bicycle when someone asked about his drake,B
1113,she found eagles at the bottom of the sea,eagles dive into the shallow sea to catch fish,eagles are birds that can't live in the sea,"the boat ""Eagles"" sunk to the bottom of the sea",B
1114,he used his id card to pay the bill,he forgot to bring his wallet so he deposited his id card,he left his id card at the restaurant after he paid the bill,id card's only value is to identify someone,C
1115,he is the first man born on the moon,he said he was born for a career of an astronaut,he was born to be the son of the first man who's been to the moon,environment on the moon is not suitable for the human being to live,C
1116,joe slept on a banana peel,a banana peel is too small for a person to sleep on,he ate a banana before he went to sleep,eating too many bananas makes people want to sleep,A
1117,the newborn monkey drinks banana from its mother's breast,newborn monkey can't digest a banana,banana is a fruit grown on banana tree,the newborn monkey stick to its mother's breast when offered banana,B
1118,carrots make rabbits sick,when rabbits get a cold they still need food like carrots,rabbits eat carrots as their major food,carrots grow in the ground,B
1119,josh thought of an idea and wrote a history,josh had a special idea of the cover of this history book,the idea josh thought of was highly praised in the history,history must have happened rather than,C
1120,jane drove so fast that she got a movie ticket,jane drove fast to arrive at the movie theater in time or the ticket would be expired,driving too fast is dangerous and always punished,jane played a role in a movie where she drove fast,B
1121,jack ignored his sick friend to check on her,jack checked on his sick friend but ignored her reply,she forgot that her friend is ill,to check on someone one ill must contact him/her,C
1122,he got punished by the boss because of his hard work,people who work hard shouldn't be punished,his colleagues don't like him for his hard work paid off,his hard work uncovered many bad behaviors and the boss punished many employees,A
1123,a boat floated in the bowl,the boat sunk but the bowls on it floated,this was a cargo ship full of bowls,a bowl is too small for a boat to float,C
1124,fred turned up the capacity of the radio,a radio can't hold other things,the radio broadcast a way to turn up the capacity of one's home,fred turned up the capacity of his desk so he can put a radio on it,A
1125,alex drove the van into the lake,alex got out of the van without pulling the handbrake,alex found his old van and broken,a van can't run on a lake,C
1126,frank brought a can of jewelry from the grocery shop,jewelry are not sold in a grocery shop and they are not sold in a can,frank put all his jewelry in an empty can brought from the grocery shop,the owner of the grocery shop was broken so he sold all his jewelry,A
1127,mary wore a pretty watch to the dancing party,she talked about her pretty watch with her partner at the dancing party,she led a life of selling the pretty watch,a dancing party is not a good place to show off one's watch,C
1128,tom fell and broke his heart,breaking one's heart is about emotion,his girlfriend broke up with him and his heart was broken,tom fell in love with his ex-girlfriend,A
1129,he ate his chopsticks with chop suey,chop sticks are made of wood while chop suey is made of vegetables and meat,chop suey is a dish while chopsticks are tools to eat,it's hard to eat chopsticks while it's easy to eat chop suey,B
1130,the shower curtain tastes good,there are many food pictures printed on the shower curtain,he ate something tastes good behind the shower curtain,shower curtains are made of plastic,C
1131,jamie served delicious food on a laptop,he showed many pictures of delicious food on his lap top,laptop can't be a container of actual things,jamie learned to cook with his laptop,B
1132,he wrote a letter on tv,he put the paper on tv and wrote a letter,a tv series played that he wrote a letter,tv doesn't have a function of writing a letter,C
1133,judy used an earpick to clean between her teeth,an earpick is not designed for teeth,she held the earpick between her teeth to free her hands,judy bought a new earpick and it's quite expensive,A
1134,suzie bought her parents a new car for her birthday,suzie drove her new car to her parents' to celebrate her birthday,suzie's parents gave her a huge amount of money,people usually receive on their birthdays,C
1135,lily hid behind a hair,a hair is too thin for lily to hide behind,lily was discovered because of her hair,lily hid her hair behind a wig,A
1136,she opened the shower curtain when she woke up,she took a shower in the morning,shower curtain is not for shielding light during the night,she's too tired to take a shower so she slept early,B
1137,lewis was having an affair with his girlfriend,his girlfriend caught him having an affair,the relationship between a couple is not an affair,he promised his girlfriend that he'll never have an affair,B
1138,hats expose the head to sun and rain,hats function as a shelter for heads,hats sell well when there's sun or rain,"if the hat is gone, the head will be exposed to sun and rain",A
1139,jack handed a word to her,jack told her what the word means,jack was angry and he has a word with her,a word can't be handed without writing it down,C
1140,he lent me some bills,he lent me some money to pay the bills,bills need to be paid and are non-borrowable,he gave me the bill because I've borrowed from him,B
1141,I gave him the key to break the door,he couldn't find the door,a key is used to open a door safely,he found the pattern on the door annoying,B
1142,lucy drank some tea to serve the guest,the guest didn't like the tea lucy made,tea is for the guest to drink,it's the first time the guest came to lucy's,B
1143,paul has a picture taken with two Americas,America is too big to be in the same picture with a man,every time paul went to America he took a picture,paul has been to America twice,A
1144,the boss made him do hard work all year,he is the best employee of the year,an employee needs some rest after a while,more work hours lead to a higher salary,B
1145,I heard her singing in the next city,it's impossible for a human voice to pass that far,she works as a singer in the next city,I'm going to go to her concert in the next city,A
1146,I could hear the rain pattered through the window,I forgot to close the window before I went to bed,the rain won't make any sound if they pass through the window,I love rainy days,B
1147,my boyfriend grew me some roses on Valentine's Day,couple send and receive mature roses on Valentine's Day,my boyfriend told me that he didn't love me any more on Valentine's Day,my boyfriend owns a farm planted full of roses,A
1148,chris lived at the bus stop,bus stop can't accommodate anyone,chris' house is near to the bus stop,chris always goes to work by bus,A
1149,our teacher told us to make more mistakes in the study,to make mistake is not good in study,our teacher became angry if we made many mistakes,we were told how to correct mistakes in study,A
1150,she made a beautiful cloth for the dinner party,a cloth can't be worn for any occasion,beautiful cloth can be material for beautiful clothes,the dinner party had a beautiful tablecloth,A
1151,the advanced auto machine will cost us a lot of labor,the advanced auto machine was broken soon,we spent a lot of money on the auto machine,using a machine is to replace labor,C
1152,his success is due to his poor work,"despite some of his poor works, other outstanding works led him to success",he succeeded in improving his poor work,a poor work will not be thought highly of,C
1153,he turned to his teacher for a question in the exam,students are not allowed to discuss during an exam,he is the best student in his class,this was an open book exam,A
1154,he tried hard to succeed to frustrate his parents,people's parents naturally want them to be successful,he found his parents strict with him,his parents told him it's important to lead a happy life,A
1155,adults are not allowed to drink beer,adults are old enough to decide whether they want to drink beer,this restaurant doesn't serve beer,adults will become drunk if they drink too much beer,A
1156,people became ignorant after they read the news,people learn from what happened in the world,some of the news can be fake,ignorant people don't usually read the news,A
1157,caroline asked her dog a name,carioline asked her friends if they have any good name for her dog,a dog can't answer any question,caroline was asked to change the name of her dog,B
1158,he prevented the car from going on the road,the road is for cars to go on,he found a lot of traffic on the road so he decided not to drive,there's something wrong with the car so he pulls over it,A
1159,franklin is dancing in the choir,his dancing show was after the choir's show,a choir has several singers and performs singing,singer franklin found dancing very interesting,B
1160,Fiona wrote a shopping list after she went to the supermarket,she forgot to buy items on her shopping list,she lost her shopping list at the supermarket after she left,a shopping list is a reminder of things to buy,C
1161,police officers enjoy eating donuts in an emergency,police officers don't eat anything when they are handling emergencies,police officers use donuts to relieve their stress after emergency,we turn to police officers for help when we are in an emergency,A
1162,jill wrote a book with monsters,the book is about jill and the monsters,monsters don't write as human do,jill was so devoted to his book that other people saw him as a monster,B
1163,she flew on a fly abroad,she found a fly on her way abroad,a fly is too small to be a transportation,the fly is of a foreign species,B
1164,we talked too much that we all puked later,conversations don't cause puke,we talked too much at the dinner table,the topic of our conversation is about food,A
1165,tucker overdosed on candy,tucker's medicine was replaced with candy,eating too much candy is not overdosing,tucker ate candy to resist withdrawal reaction,B
1166,he got dirty after he bought the house,the construction worker bought the house he built,he decided to decorate the house himself after he bought the house,buying a house doesn't make you dirty,C
1167,Ariel wanted to surprise Beth by calling her a puppy,Ariel called Beth that he will give her his puppy,Ariel found Beth's lost puppy and it's a big surprise to her,calling someone puppy won't make him feel surprised,C
1168,larry put his swimsuit on for the meeting,a meeting doesn't hold in water,larry presented his new design at the meeting,larry felt comfortable in his swimsuit,A
1169,he put an apple in his mouth,eating an apple requires a few mouthfuls,he failed to show off his big mouth,"an apple a day, keeps the doctor away",A
1170,he printed a stamp on the letter,a printed stamp made the letter undeliverable,he forgot to write address on the letter,the glue for stamps is used up,A
1171,alfred stopped at the drive-thru for a lobster,"although he ate lobster for lunch, alfred still want some snacks",a drive-thru only serves fast food,alfred stopped at the drive-thru with his car full of lobsters,B
1172,"on the day of the concert, we went to the dining hall very early for seats","on the day of the concert, we ate very early",concert seldom hold in the dining hall,we met at the dining hall and set out to the concert,B
1173,they bought paper made of steel,the steel company needed a lot of paper for trade records,steel is not a good material for paper,the paper is cut by a steel arm,B
1174,they hung out at the meeting room,the boss told them to relax during the meeting,meeting room doesn't provide entertainment,they were present but their minds were absent,B
1175,joey used a mop to dry himself,mop is used to absorb water from the floor,joey was lying on the floor,joey found his towel used as a mop,A
1176,wildfires are controlled by street fighters,street fighters don't know how to put out a fire,street fighters are the victims of the arson,the wildfires spread to the house of street fighters,A
1177,honey can understand each other's dancing,people love to dance with their honey,honey is inanimate and can't dance,the honey is so sweet that he danced after he tasted it,B
1178,he looked at the watch worn on his waist,when he was standing he felt his watch rubbing his waist,a watch is too small to be worn on one's waist,he found his watchband used the same material as his waistband,B
1179,sleeping pills keep him warm in the wild,after eating sleeping pills he dreamed of himself feeling warm in the wild,sleeping pills only make people feel sleepy,he put sleeping pills in the fire to keep him warm in the wild,B
1180,a secret is something that everyone knows,people don't usually tell the secret to everyone,he told the secret to each person he knew,everyone was wondering what the secret was,A
1181,he ate too much that his fart was sweet,he found his fart overshadowed the sweet of the food,he ate too many sweet things like candy,no fart has a good smell,C
1182,he chewed his food without swallowing,he found the food too hot for him to swallow,food won't enter our stomach without swallowing,"the more people chew, the better the food tastes",B
1183,he brought his gum for the hunt,gum is of no use in a hunt,he spitted the gum before he left,swallowing gum is bad for ourselves,A
1184,the yard was wet after several days of sunshine,the yard is very big,sunshine brings energy to dry the yard,sunshine makes people feel comfortable,B
1185,the ship sailed across the iced waters of the Atlantic,in the Atlantic the water was cold all year round,the temperature is getting lower and lower,a ship can't sail across the ice,C
1186,the ship turned sharply to get a collision,there was something wrong with the helmsman of the ship,the ship has been through several collision,a ship may sink after a collision,C
1187,the artist added more melodies on his painting,the artist drew some melody sighs on his painting,melodies are elements in music,his peer commented that his painting missed something,B
1188,he found a bat to play soccer,he was annoyed that he hit the soccer with his bat,bat is not used in a soccer game,the ball stuck on the tree so he used a bat to reach it,B
1189,peter is walking on the river of the bank,there is a river alongside the bank,peter found himself good at walking,a bank doesn't have a river and a person can't walk on a river,C
1190,the student attended several lectures to teach different professors,the university allowed students to attend different lectures,he was confident that he would enjoy himself in all these lectures,a student doesn't find ways to teach professors on purpose,C
1191,all the guest of the party sat onto the cake,since there were many guests at the party they bought many cakes,cakes are too soft to be a seat,all the guests sat on a seat to eat cake,B
1192,mia got a discount on her groceries so she spent more money,mia found she didn't have much to eat at home so she bought more groceries than before,mia brought her coupon to get a discount at the grocery store,a discount means you don't spend more money than the prices of your groceries,C
1193,the sun is rising and it's getting dark outside,every day the sun rises from the east,the sun brings light that dispels the darkness,most parts of the world were dark before the sun rose,B
1194,the conversation is at the beginning so I hung up the phone,I didn't know how to hang up the phone,having a conversation over phone requires someone the hold the phone,we were having a happy conversation over the phone,B
1195,a canal was constructed next to the farmland for flood,a canal was constructed to prevent the farmland from flood,a flood is bad for farm products to grow,it rained heavily and the canal flooded,B
1196,the skydiver glided safely to the seabed,a skydiver can't glide in the sea,the skydiver didn't find a place to land,he is good at swimming,A
1197,after becoming immune to the disease the baby received the vaccine,the vaccine expired before it was injected to the baby,the vaccine played an effect slowly on babies,the vaccine helped the baby to be immune to the disease,C
1198,todd opened the window to let the fresh air out,todd recently bought an air purifier at his home,fresh air is good for todd's health,most fresh air comes from outside,C
1199,the dog chased the cat up the tree,dogs don't know how to climb a tree,the dog waited under the tree,cats are good at climbing trees,A
1200,jane painted a chair and sat on it,jane painted the chair blue,a painted chair needs some time to dry,the chair was a birthday gift and jane likes it very much,B
1201,lily ordered a steak at a vegetarian restaurant,the owner of the vegetarian restaurant loves steak,he used to be a vegetarian but now he prefers a heathy lifestyle,vegetarian restaurant only serves vegetarian food,C
1202,he wanted to lose weight to fit into future clothes,some clothes only have small or medium sizes,he wanted to lose weight to be fit,future clothes don't have a fixed size,C
1203,"there is a huge, splendid cattle standing on the top of the hill",a cattle can be strong but not splendid,the view on the top of the hill is splendid,even a huge cattle doesn't look big from the top of the hill,A
1204,he found cash of one million dollars in his wallet,cash of one million dollars can't be put in a wallet,he just cashes one million dollars from the bank,it's inconvenient to bring money in the pocket so he bought a new wallet,A
1205,he parked his car in the wrong place so he was asked to sell it,he was a new driver who just got his driver's license,people who park illegally won't be punished to sell the car,when he came back he found his car at a different place with a notification of towing fee,B
1206,sally hatched some eggs for the Christmas eggnog,some of the eggs prepared for Christmas eggnog were hatched,eggs hatched will become chicken which can't be used for eggnog,sally bought a hatcher recently,B
1207,cindy said she was too good to go to school,cindy wanted to go to school on her own,cindy said many students in her school are not feeling good,if a student feels good he should go to school,C
1208,the old man was praised for littering in public,someone picked up the litter he threw in public,people won't be praised for bad behavior in public,he didn't realize that the rubbish he held fall off his hand,B
1209,jones gained some weight and his clothes fit loosely,jones bought some clothes of larger size,when people lose weight they become slim,jones wore less because he had a stronger body,B
1210,he left his dog in his office when he headed for work,when people work they are usually in their office so the dog is not left,his dog loved to stay in his office,he got a promotion at work,A
1211,the government built an aircraft roadway in the train station,aircraft roadway only allows planes to take off and land,the old facilities in the train station need to be rebuilt,the government planned to build more aircraft roadways this year,A
1212,the girl licked her fur carefully,the surface of a girl's body is skin,the girl had a pet and she liked her very much,girls often take good care of their skin,A
1213,to accommodate the bugs he converted the sofa into a bed,when he has a fight with his wife he always accommodates himself in his sofa,sofa of the modern times can be converted into a bed easily,bugs are usually small and they don't need a bed for human,C
1214,my hands are tired because I have been standing up all day,sometimes I'm so tired that I have to hold something in my hands to keep standing up,after standing up all day I use my hands to massage myself,people don't use hands to stand up,C
1215,joanna made a pot of chill for dinner,to resist chill he made himself a hot dinner,chill is about temperature or feeling so it's not edible,eating dinner alone makes joanna feel chill,B
1216,penguins are fish that cannot fly,penguins belong to a kind of bird,fish generally don't fly,penguins are used to live in cold places like Antarctica,A
1217,I attend a class in the principal room,the principal room can only contain a small number of people,the principal taught a class I attended,in the middle of a class I was called to the principal room,A
1218,one of the common reasons for flight delay is the mood of the pilot,pilots are not allowed to bring their moods to work,if there was a flight delay the pilot may be anxious too,there are many reasons can cause a flight delay so it's quite common,A
1219,in windy days everyone had to hold onto their shoes,the wind was so strong that he couldn't hold the shoes he just bought,wind usually doesn't blow off your shoes,in windy days people find their shoes easily soiled,B
1220,after cooking I put the plate in the sink,plates are used to contain food,I washed the dishes right after everyone finished their meal,I found plates not enough so I washed several used plates in the sink,A
1221,the boy read the novel aloud to his blind grandfather,a blind person doesn't need louder sounds to hear clearly,the boy was proud of the novel he wrote,he didn't know some of the pronunciations in the novel,A
1222,after a long time of walking my foot went numb,walking accelerates the blood circulation in the foot,I tried to avoid a numb lifestyle so I started walking,during the walking I listened to Numb in a single loop,A
1223,the photographer skipped the moment when the kids smiled,a photographer usually takes photos of people having positive emotions,the kids were unhappy so the photographer had to tease the kid again,the photographer forgot to press the shutter button at the perfect moment,A
1224,I slipped on the cracked floor,I fell down and cracked several tiles,cracked floor has greater friction than a flat floor,the tiles used for my floor are of poor quality,B
1225,the bar closed early because it was crowded,the receptionist limited the number of new guests into the bar,a popular bar doesn't close early,there was a kind of wine most guests don't like,B
1226,he got pulled over by the police when he was parking,he parked the car in the wrong parking place,parking is an action of stopping one's car,police on this street was strict to drivers passing by,B
1227,the kid was spoiled and ran away from home,the kid was asked to buy some eggs from the nearby grocery store,if a kid was spoiled he was likely to stay in this comfortable situation,the kid grew up to be a spoiled man,B
1228,bosh realized he forgot something when he looked at his watch,he forgot what to do at a certain time today,bosh realized he forgot to bring his watch when he looked at his wrist,a watch is used to record time and people look at their watch for the time,C
1229,the bartender refused to serve the lonely patron,the bartender didn't go to work today,the lonely patron forgot how much he drank that night,many people went to the bar on their own for a drink,C
1230,the student received detention for his excellent grades,he suggestion on the form of the exam was received,several teachers reviewed his paper and confirmed the good grades,students who get good grades don't get punished,C
1231,a train went through a bridge and the inside of it went dark,a train on a bridge can still receive the sunlight,it's getting late and the train conductor drew the curtain,"the bridge is long, it even took the train a while to go through",A
1232,the turtle hid in its shell to hunt a fish,hiding in the shell is a way to protect itself,the shell expanded as the turtle grew up,"the shell of the turtle has a beautiful, symmetric pattern",A
1233,the girl handed down her clothes to her elder sister,the sisters have similar tastes when it comes to the clothes,their family led a simple life,an elder sister usually wear clothes of larger sizes,C
1234,the bomb was defused when the terrorist set it off,the terrorist placed a suicide bomb on himself,the police received a bomb extortion message from the terrorist,to set a bomb off is to make the explosion happen,C
1235,the food he dropped was cooked by his dog,he dropped a recipe on the floor and his dog saw it,a dog doesn't know how to cook,he often shares his food with his dog,B
1236,the book was deemed inappropriate for human,some parts of the book were deemed inappropriate,books are created for human to read,the book was a best seller despite some comments said it's inappropriate for some readers,B
1237,the driver made a wrong turn and the trip took a shorter time,the driver just got on the way today,a wrong turn usually cost a driver more time to come back,the driver was on the wrong lane so he had to make a wrong turn,B
1238,after I replaced the batteries the flashlight was dead,I replaced rechargeable batteries in the flashlight,new batteries provide power to make the flashlight on,the flashlight was broken so I replaced it with a new one,B
1239,I scratched my skin to relieve scar,scratch causes a scar on human skin,my scar recovered soon as I restrained myself not to scratch it,my skin was sensitive to scratch and even touch,A
1240,the burglar broke into my house without calling me up,my friend called to remind me to be cautious about burglars,when the burglar was at my house the phone rang,a burglar doesn't call before his theft,C
1241,jason held the door for the woman entering before him,he didn't have to hold the door for someone passing before him,jason held the door and waited for the woman to enter before him,jason was a security guard who patrolled near the door,A
1242,the mirror in the bathroom fogged up after she applied her makeup,a mirror in the bathroom got fogged up usually because the air is humid and warm,she was so drunk that she applied her lipstick on the mirror,after she applied her makeup she was fascinated by herself in the mirror,A
1243,the security guard let the man pass for his sneaky behavior,his sneaky behavior under the surveillance camera caught the attention of the security guard,the security guard stopped him and found weapons underneath his clothes,a security guard won't let anyone who's behaving strangely pass easily,C
1244,the driver rotated the steering wheel and the car halted,the steering wheel controls the direction of the car,the car halted suddenly and the driver bumped into the steering wheel,it's dangerous for a driver to leave his hands off the steering wheel,A
1245,my shirt was tidy so I ironed it,I followed the instruction when I ironed my shirt,to iron clothes is to make them tidy,my iron has been around for a long time and it's not working any more,B
1246,the patient is getting worse so the hospital sent him home,the patient is getting worse but the hospital never gives up the slightest hope,the patient is incapable of any action so the hospital sent an ambulance to his home,a hospital aims to help people no matter how bad the situation is,C
1247,we found no seats in the theater so we sat down,people are not allowed to sit on places other than seats,we found our tickets lost when we arrived at the theater,the theater hasn't opened so we sat down on the steps in front of the theater,A
1248,the woman received an admission after she graduated,she decided to apply for further study after she graduated,after admission a student needs to gain several credits to graduate,the admission letter said that it usually takes a student 3 years to graduate,B
1249,emily came upon a river on the sidewalk,she fell into the river while walking on the sidewalk by the river,emily lived in a village next to a river,a river is too big to be on a sidewalk,C
1250,she covered her ears at the smelly smoke,the smelly smoke irritated her eyes and she couldn't stop crying,she was tired of her husband's excuses for smoking,people can't sense any smell with their ears,C
1251,the audience booed the comedian off the stage for his humor,the audience couldn't get the comedian's joke very well,the audience liked a comedian with a sense of humor,each comedian had fixed time for his show,B
1252,the coach gave the referee a high five,a referee doesn't usually interact with a coach,the referee gave the coach a foul for his inappropriate move,when his team won they coach gave a high five to his assistant,A
1253,bob said my breath smelled of garlic so I wiped my mouth,a breath came from inside the mouth,bob reminded me of my smelly breath,"after eating some garlic with bob, I wiped my mouth",A
1254,alex was lost so he drew a map,a lost man can't draw a map,he followed his map but he couldn't find a way out,alex lost his map and he was lost soon,A
1255,tina pushed the gas pedal to open the car door,gas pedal controls the oil tank of the car,tina forgot the door was still open when she started the car,tina was on a test of driver license,A
1256,sarah got away with the crime because new evidence was discovered,if evidence is discovered the truth will be discovered,after sarah was sentenced to jail new evidence of her committing the crime was discovered,sarah managed to destroy the evidence that would level up the punishment,A
1257,I wiped the book with a tissue and the words on the cover came off,the brand name of the tissue was printed on the tissue,the book had a long history and the cover of it was almost illegible,words are printed on books and they will not be wiped off,C
1258,the student chewing gum in class was forced to swallow it in,gum is indigestible so people usually don't swallow it,chewing gum in the class is seen as a disrespect to the teacher,when he was accused of chewing gum in class he pretended that he swallowed it in,A
1259,jane brought her ID so she was denied entrance into the bar,jane realized that she didn't bring her ID and she went back home to bring it,people should be allowed to enter a bar with their ID,jane was told that her ID has been used for the entrance into the bar,B
1260,a comet passed by the moon and a crater formed on it,each year many comets pass by the moon and some of them create craters on it,a comet passed by the moon which has a lot of craters on it,a crater formed when a larger substance comes into contact with a smaller substance,C
1261,the benefactor requested to stay anonymous to maintain his reputation,the foundation announced to the public the list of the names of all the benefactors,"the more he contributes to charity, the higher the reputation he would gain",to maintain one's reputation he should use his real name in charity,C
1262,janice felt ashamed of the smile on her face,janice put on makeup to make her look prettier than before,a smile is a natural expression so it shouldn't be ashamed of,she is a lively girl with a smile on her face every time she sees other people,B
1263,the x-ray showed that his arm was painted,his arm was plastered and many of his friends painted on it,an x-ray can't detect people's skin,while he was waiting outside the x-ray room he picked up a paint book and read it,B
1264,the boy filled the bucket with air,the bucket had a hole on its bottom,the boy was trying to create a vacuum in the bucket,air is everywhere so it's already in a bucket,C
1265,taylor downgraded her computer hardware for a better experience,an older version of computer hardware is usually less efficient,taylor recovered some old files he deleted before on the computer,taylor didn't know how to disassemble or assemble a computer,A
