id,FalseSent,ref1,ref2,ref3
5417,the hotel has several tennis museums,there is no museums in hotel,A hotel doesn't not have museums.,Museums are not available in the hotel.
5418,I added a dollop of vanilla ice-cream to the poison for Ben,people do not have ice-cream with poison,Poison is toxic and should not be consumed,Poison is not meant to be ingested by humans.
5419,the planes flew through the ocean,the plane does not fly in the ocean,A plane can not fly through water.,"Planes don't fly in the ocean, they crash."
5420,the flowerbeds brim with a mixture of lilies and batteries,no plants smell like batteries yet,Batteries don't grow in flowerbeds.,there are no batteries in blowerbeds
5421,please lift the box down from the moon for me,no one can get the box on the moon easily now,moon is not a place of putting things to lift it,You cannot reach the moon
5422,Jake is a prolific writer of novels and short exams,writer writes books not exams,Novels and short exams are not the same thing.,Jake might be famous enough for me to write about.
5423,Sylvia fetched a towel from the sun,people cannot put a towel on the sun now,We cannot travel to the sun and the sun does not have towels.,The sun is not a place where anything can be stored or things fetched from.
5424,she had an operation on her knee at the library,people have operation at the clinic not library,Surgeries aren't do in libraries. They're done at hospitals.,A library has neither the equipment nor the personnel to handle a knee operation.
5425,"stooping down, he picked up a big planet","planet is bigger than human, so human cannot pick a planet up",no one picked up a big planet,"Planets cannot be purchased, yet."
5426,he went off to the train station after a blow to the face,"train station cannot offer help if you get a blow to the face, a hospital can",You cannot get medical attention at a train station,You wouldent go to a train station if you got hit in the face
5427,his toes was full of biscuit,people cannot put biscuit in their toes,you don't eat with your toes,Toes are flesh and cannot have biscuits in them
5428,tourists sunbathe and frolic in the liver,"liver is a part of body , so it is impossible to sunbathe and frolic in the liver",A liver is a human organ and nobody can take sun bath in it.,A liver is not a body of water.
5429,the old lady is a vegetarian and never touches beans,beans are not meat so vegetarian can have beans,Beans are vegetables.,"Vegetarian do not eat animals, so beans she can eat."
5430,we got an ambulance and rushed her to playground,ambulance takes people to hospital not playground,Ambulances don't go to playgrounds.,"ambulances have only one route, to the patient and back to the hospital the return trip is always to a hospital"
5431,they had a barbecue on their toilet on Sunday,people do not barbecue in toilets,Toilet is not a place to have barbecue.,Barbecue is not cooked on a toilet.
5432,I went to my teacher to have a tooth taken out,"dentist can take tooth out, teachers cannot",Teachers are not dental professionals,Teachers do no perform dentistry.
5433,"I ate a packet of milk shake, because it was very crispy","shake is liquid mix with other ingredients, so it is not crispy",milk shake are liquid,Milkshake cannot be eat.
5434,he waded across the sea,the sea is too deep to wade across for human,The sea is too deep to wade across.,The sea is too deep and large to wade across.
5435,Ben flew a small car to Cuba,"car cannot fly, plane can",Cars cannot fly.,Cars are unable to fly
5436,he was putting up a new fence at his shelf,fence is too large to be put on shelf,A fence is usually too large for a shelf and a fence is not a part of a shelf.,"Fences belong outdoors, not on shelves."
5437,he got a job washing cars in a pizza parlor,there are no cars in a pizza parlor,A pizza parlor is not the place where cars get washed.,Pizza parlors don't have car washes.
5438,"he sat by the sun, reading a novel",human cannot stay near the sun now,it does not make sense,You can not get close to the sun
5439,massage the meat into the scalp to clean it better,people eat meat not using it to clean things,Meat cannot clean a scalp,Meat is for eating not cleaning.
5440,she took a pen and bit into it,no one can bit a pen or eat it,Pen cannot be bit.,A pen is not very easily bitten into and would be useless afterwards
5441,radiation are just the thing for a healthy snack,radiation is bad for health,RADIATION IS NOT A FOOD IT IS A ENERGY TRAVELLING THROUGH SPACE.,"if you`re in chernobyl maybe, radiation kills you"
5442,we put the mountain in kennels when we go away,mountain is too large to be put in kennels,montains do not fit in a kennels,A mountain cannot be put into a kennel.
5443,a hairdresser needs a hairbrush and oil to work,hairdresser does not need oil to work,Hairdressers do not need oil in order to style someone's hair,Oil is not necessary for a hairdresser.
5444,I went to the hospital and had my hair curled,"hospital cannot help people to curl hair, hairdresser can",A hospital is a medical establishment focused only on peoples physical and mental health.,Hospitals don't offer hair treatments.
5445,I parked the plane in the backyard,the plane is too large to be parked in the backyard,Plane cannot be parked in the backyard.,A plane does not park in a backyard.
5446,the airplane lifted from the bird,airplane is too large to lift from the bird,"Airplanes are usually located at airports, not on top of birds.",birds cannot support airplanes lifting off.
5447,this afternoon we went to the museum for a workout,people go to gym to workout not museum,"In the museum you see art, not weights do pull",Museum is not a place to do workout.
5448,he sat with package on his lung,it is impossible to put a package on one's lung,it is impossible to keep the package on lungs,lung is a inner part of body
5449,you should fly your kite against the water,kite flies in the sky not water,Water is anti-thetical to kite flying.,Water is not a place to fly your kite.
5450,Ellie stood in line for over an hour to ride the roller coaster at the library,"there is no roller coaster in the library, the amusement park has roller coaster",Libraries do not have roller coasters,A library is not the place to find a rollercoaster.
5451,she put on myopia glasses when the sun is dazzling,myopia glasses are not good protection against the strong light,Myopia glasses would not protect the eyes from sun,myopia glasses do not protect you from the sun
5452,she sat on a chair in the sky,people is unable to sit in the sky now,sky is not a place to sit,Chairs have nothing to stand on in the sky
5453,the chef gave him some pills to ease his pain,the chefs are not qualified to prescribe pills,Chef's cannot prescribe pills.,A chef is not licensed to dispense medicine and could get in serious legal trouble.
5454,we can have a picnic on the road,having a picnic on the road is very dangerous,It's not permitted to have picnic on the road,A picnic in the road is a very dangerous proposition.
5455,I take a bath in the kitchen,there is no facilities for bath in the kitchen,kitchen for cooking food,A kitchen does not have bath facilities.
5456,smoking can be a healthy habit,smoking is harmful to people's heart and lung,Years of clinical research have shown smoking to be patently unhealthy.,smoking kills you.
5457,our team felt so much disappointment after our victory,victory makes people feel proud,"The team would not feel disappointed, they would be happy because they won",After victory our team will not felt much disappointment.
5458,"if no one answer the door, why not try breaking the back door?",breaking the back door is not helpful to find someone,Breaking a door is not the way to go into a house.,It's not legal to break someone's door.
5459,he really hates vegetables. Give him some cabbage,cabbage is kind of vegetables,Cabbage is also a vegetable,Giving the person something you know they hate is not usually what people do.
5460,the doctor said you should have greasy food these days,greasy food is not good for patients' health,doctors recommend you healthy food,"Greasy food increases risk of cardiovascular disease, a doctor would not reccomend that."
5461,it's good for the environment to walk on the grass,walking on the grass will affect the growth of grass,Walking on the grass is not good for the environment.,Walking on the grass is bad for the environment
5462,the weather is very hot so he wants to drink hot water,the hot water can't make people feel cooler,Drinking hot water in hot weather can be dangerous.,"When it is hot, you want to drink cold things."
5463,we had better keep talking loudly in public,it may disturb other people to talk loudly in public,Speaking loudly in public would create problems.,In order to have your conversation private it would be best to not talk very loudly in public.
5464,he enjoys traveling all over the universe,the universe is too big to travel all over,There is not transportation yet to travel the universe.,"you should take everybody then, lets conquer space. sorry you cant leave earth"
5465,the students began to get in rice as soon as they got in the playground,rice does not grow in the playground,there are no rice plants in playgrounds,you get in the rice on the playground
5466,the Great Wall is about 6700 meters long in all,the Great Wall is much longer than 6700 meters,The Great Wall is much longer than 6700 meters,The Great Wall is much longer than 6700 meters
5467,the beautiful princess lived in a big pink fridge,no one can be alive in the fridge,A fridge is not a place that can be lived in.,A beautiful princess would live in a castle not a fridge
5468,"it's very cold in the room, you had better not take off your ring",not taking off your ring won't keep people warm,a ring doesn't affect your warmth so keeping it on or off isn't going to change things in a cold room,A ring won't keep you warm in a cold room.
5469,we hired a police officer to do the housework because we are all too lazy to do it ourselves,the police officers' job is not to do the housework,Police officers don't do housework.,Police officers do not clean houses.
5470,air and water are non-essentials for life,people can't live without air and water,You would die without air and water.,Non-essentials for life is not air and water.
5471,"she's asleep, we should keep noisy",noise will affect her sleeping,One cannot sleep in a noisy atmosphere.,If you are loud when someone is asleep you will wake them up.
5472,he wanted to touch her legs to feel the baby moving,babies stay in mothers' bellies but not legs,A baby is not found in legs.,You have to place your hand on the belly to feel a baby moving.
5473,he swung in the cinema from tree to tree,there is no tree in the cinema for him to swing,there are no trees in the cinema,Cinema is not a place to swung from tree to tree.
5474,"she likes many different kinds of fruits, such as beef",beef is not a kind of fruits,Fruits come from plants and beef comes from a cow.,Beef is not a fruit
5475,it's undeniable that tigers and tortoises look similar,tigers and tortoises don't belong to the same family,"tigers are felines, tortoises are not.",tortoises not from cat family
5476,the dentist cleans my ears,"the dentists' job is treat our teeth, not ears",dentist is a teeth specialist,"Dentists specialize in teeth, not ears."
5477,"please have a look at our chefs, if you want to order something","we can order the food from looking at the menu, not the chefs",You can not see the chefs when you go to a restaurant.,The chefs will cook the food but are not the menu
5478,conditioner is still the best way I know of cleaning my hair,"conditioner makes hair soft and shiny, but not clean",Conditioner doesn't clean hair,Conditioner is not used to clean the hair.
5479,"when I got to Canada, I want to go and see the famous Statue of Liberty","the Statue of Liberty stands on an island in New York Harbor, USA",The Statue of Liberty is not located in Canada.,The Statue of Liberty is located in New York.
5480,she lives in that house among the clouds,"at present, it's impossible for human to live among the clouds",Houses do not exist in clouds.,Houses can not be built in the clouds because you need to build on ground.
5481,fire built up several houses in the area,fire will burnt down the houses but build up them,Fire cannot be used to built houses.,Fire cannot build houses.
5482,we can exist without food,food is very necessary for human survival,Humans will die without food.,Food is essential to live.
5483,she has a blue and green panda,"pandas are black and white, but not blue and green",Panda's don't come in blue and green.,panda is only a black and white color
5484,I always go to school by rocket,the school isn't far enough to go by rocket,People do not use rockets to get to school,Rockets are not a normal form of transportation.
5485,only 40% of 5-year-old children have access to pre-school job,children do not have jobs,5-year-old children is impossible to access a pre-school job,5-year olds don't work
5486,this job will cost his spare blood,job does not cost people's blood,Blood is not needed for a job.,All blood is considered essential so no one says they have spare blood.
5487,she made a film when she was still a dog,a dog is unable to make a film,Dogs are incapable of making films,Dog is not a person to make a film.
5488,the children starts to showing off as soon as anyone comes into the elephant,people cannot stay inside elephant,One cannot go into an elephant.,"kids want to impress humans, not elepahnts"
5489,we encourage students to further their study in prison,students should not be in prison,Students are typically encouraged to avoid prison.,Students are not in prisons.
5490,office dragons fled in panic as the fire broke out,dragons do not exist on this world,Dragons aren't real.,Dragons aren't real and if they were they probably wouldn't work in offices.
5491,the cook permitted Tom to adopt the homeless orphan,"the cook's duty is to make meals, but not to permitted adoption",A cook does not have the authority to determine who can adopt an orphan.,Cooks are not permitted to approve adoptions.
5492,all passengers were transferred out of one snake into another,snake is not a vehicle,Passengers do not ride on a snake.,Passengers don't fit into snakes.
5493,people can overcome disasters with cola,cola hasn't been scientifically proved to overcome disasters,Cola cannot overcome the people disasters.,Cola is ineffective at helping overcoming disasters.
5494,stealing techniques can ease the harm effect on the body,stealing cannot ease the harm effect,Stealing is always a harmful activity.,stealing techniques do not work on your body
5495,those children may not the battle,children do not fight battle.,Battle cannot be done with children.,that just not make any sense. children don't fight
5496,the thief saw the child and ran away,"the thief was afraid of being arrested by police, not a child",Thieves aren't afraid of children.,thiefs are not afraid of children
5497,love is an episode in his dinner,love is a feeling not food,A dinner is not made of episodes.,Dinner does not contain episodes.
5498,reducing the gap between rich and children is one of the main challenges,the gap between rich and children is not the main challenge,The gap between rich and children is not an easily compared thing.,There is no such gsp between the children and the rich.
5499,you should keep you patients away from the medicine box,patients need medicine box,Patients should not have access to the stock of medicine,patients know that medicine box
5500,all luggage must be checked in the fridge,people do not put their luggage in the fridge,Luggage is too big to be kept in a fridge.,"A fridge is used to store food, and having a fridge doesn't mean you need to store for travel."
5501,the department has built up a restaurant of knowledge,people do not keep knowledge in the restaurant,"restaurants provide food, they are not educational institutions",A restaurant is not a unit of measure for knowledge.
5502,i would like a cup of coffee with some oil,people do not have coffee with oil,Coffee would taste bad with oil in it,oil is not used in a coffee
5503,"in my opinion, the best way to get success is through hard rock",hard rock is not necessarily help people to get success,Achieving success is not best done through Hard Rock.,Hard rocks do not bring success
5504,our proposals were rejected regardless of their tastes,proposals does not have tastes,proposals doesn't has tastes,"proposals don't have tastes, so their tastes cannot be different."
5505,i want some boiling mud to make tea,people use water not mud to make tea,Tea is not made with boiling mud.,You don't add mud to tea.
5506,do not drink the water in the summer,people need to drink water in summer,The summer cannot store water.,"then you`ll be dehydrated, you need to drink water in the summer"
5507,i went to sun soon after supper,human cannot reach the sun now,You can't go to the sun,"With the actually technology it's impossible reach the sun, it's too hot!"
5508,he recognized the old friend of his house,house does not have friends,Houses do not have friends,A house does not have actual living friends.
5509,the novel was written by a young dog,dog cannot write novels,Dogs are not capable of writing,Dogs are not able to write.
5510,i saw a policeman steal into my room,policeman do not steal things,A policeman is a law enforcement agent and doesn't steal.,A policeman does not steal
5511,the teacher let the children play on the desks,children do not play on desks,desk is not a place of playing childrens,It is dangerous to play on desks
5512,we haven't found a substitute for his planet,no one owns planet,planet doesn't need substitute,"Finding a substitute planet is a very difficult proposition, requiring many very specific conditions to be met to sustain life."
5513,she teaches English in the fire in her spare time,"if someone is in the fire, he or she will be injured or dead",The fire would burn her,A location where a fire is taking place is not somewhere people go to teach others about English.
5514,Accidents happened because he didn't obey the sunshine,accidents will not happen if people do not obey the sunshine,Sunshines has nothing to do with rules,Sunshine is irrelevant to the cause of an accident
5515,air pollution is an serious disease,"air pollution is not an disease, it is a environmental problem",Air pollution causes disease it is not the disease itself,Air pollution is not a disease
5516,a proper battle does not occupy students' too much time,students go to school instead of joining the battle,Students do not battle.,Students generally don't make good soldiers.
5517,it is unhealthy for students to spend all of their blood on study,students take time to study not blood,"Blood is a finite resource, using it all results in death.",Blood is not required for a study and can't be spent
5518,it is not pleasant experience on young people's first day on moon,human cannot bring lots of people to the moon now,you cant go to the moon,People do not live on the moon
5519,part-time job may put babies in a favorable position in the future job markets,it is illegal for babies to do part-time job,Babies are too young to have jobs.,Babies cannot do part-time jobs.
5520,it is believed that part-time job will provide students with cars to develop interpersonal skills,part-time job does not necessarily provide students with cars,Cars do not help develop interpersonal skills,Cars cannot develop interpersonal skills
5521,millions of people have to face the benefits of starvation,starvation brings dangers not benefits,Starvation does not have benefits for millions of people.,"starvation is very bad thing, so it does not give any benefits to anyone"
5522,education can be obtained at any age and at any cars,education is not usually obtained in cars,Education is not available in the cars.,Cars are not educational institutions.
5523,education is the most important person of his life,education is not a person,Education is not a human being.,Education is not a person
5524,people can live longer with the help of medical superstition,it is not proven that superstition can help people live longer,"There is no evidence behind most medical superstitions, only theory's.",Medical supersition kills people.
5525,people believe that computer skills will lower job opportunities,computer skills will improve job opportunities not lower them,"now-a-days, computer skills only make a more job opportunities",Computer skills are one of the most sought-after skills by employers
5526,this knowledge may be less useful than trees think,trees do not think,Trees are not conscious beings in the way humans are.,Trees cannot think
5527,this view is now being questioned by more and more tables,"tables do not ask questions, human does",tables is not a human to make a question,tables don't have feelings
5528,the number of people who use magic is decreasing,human cannot use magic,magic is a trick,Magic doesn't exist.
5529,bicycles will continue to play important pet in our society,bicycles are not pets,Bicycles are not pets.,bycibles are not pets
5530,increasing pollution threatens to end human life on our moon,human cannot live on moon now,"there are no humans on the moon, so there`s no way to get pollution there",There is no human life on our moon.
5531,plane cannot compare with train for speed,plane is faster than train,A plane is usually faster than a train,planes can compare with trains when it comes to speed.
5532,the question is whether education is a lifetime problem,education is not a problem,education is never lifelong and is not considered a problem,Education is not a lifetime pursuit.
5533,students should be exposed to video games.,students are not encouraged to play video games,Video games do not provide educational value,Video games are not an educational pursuit.
5534,the process of learning English is the process of building plane,building plane is different to learning English,"English is based upon knowledge, and building something physical has little influence on your understanding of it as a language.",building a plane can be done without learning English.
5535,tears filled my mother's ears,tears come from eyes not ears,Tears don't come from ears.,tears come from your eyes not ears
5536,the soldiers were reunited with their enemies after the war,soldiers reunited with families not enemies,If they're enemies then they wouldn't be reuniting after having a conflict.,Nobody unites with enemies.
5537,the construction of the planet is scheduled to be finished within five years,human cannot build a planet now,Humans are not able to contrust planets.,Planet cannot be constructed within five years.
5538,production shall be destroyed in order to meet customer requirements,production should be scheduled not destroyed,"If production was destroyed, there would be no customers.",To meet customer requirements we cannot destroy the production.
5539,seeing the monsters reminded me of my hometown,people have not found any monsters,"Monsters are typically a negative symbolic coping mechanism, which you would not see walking down the street to be able to remind you of anything.",Monsters do not exist
5540,the pictures remind me of my pet days,human cannot be pet,Pet cannot be the days.,People do not have pet days because people do not act like pets for periods of their life.
5541,science has brought about many supermen in our lives,"superman is not real, it is a character","Supermen cannot be created by science, only alien worlds.",There is no relationship between science and superman.
5542,the dog lay dozing in front of the sun,no creatures can be alive in front of the sun,dogs don't go to space,the sun is many millions of miles away and so is not accessable to animals
5543,We're planning a battle to Italy this summer,people have trip to other countries not battle,A battle to Italy would indicate war,Planning a tour to Italy is quite possible versus trying to set up a battle in Europe.
5544,We are divided in our toes,"people are divided in opinions, not toes",Toes cannot be divided.,Toes do not divide
5545,Tony speaks English and he plays Germany,people speak Germany not playing it,germany is a country,you don't play a country
5546,One third of this area is covered with macaroni,"macaroni is made by human, so natural ground cannot be covered with it",Large quantities of land are not typically covered in macaroni,This area cannot be covered in macaroni.
5547,"He came out of the library, a large gun under his arm",there are books in library not guns,Guns cannot be obtained from libraries,Gun cannot be used in the library.
5548,Combining exercise with the diet may be the most effective way to gain weight,combining exercise with diet is good for health so it will not let people gain weight,Weight gain is accomplished through heavy eating and minimal exercise.,"nope, its the opposite."
5549,The dog drove the car to the park,Dogs can't drive cars,Dogs cannot drive cars.,Dogs can NOT drive cars.
5550,The pig flew to the top of the oak tree,Pigs can't fly,Pigs can not fly,"In our reality, pigs cannot yet fly."
5551,The lobster ate the man,People aren't a food source for lobsters,Lobsters are too small to eat humans.,Lobster eat fish and molluscs.
5552,The rabbit hid in it's shell,Rabbits don't have shells,"Rabbits have fur, not shells",a rabbit does not have shell
5553,The fire kept the food cold,Fire produces heat which will heat the food,fire keeps food hot,Fire heats up food.
5554,The doctor gave out homework,Homework is given out in schools,"Doctor's do not give out homework, they give out remedies.",It is not part of a doctor's job to give homework.
5555,the boy put the shoe on his hand,You don't wear shoes on your hand,Hands don't need shoes as they aren't used for walking.,shoes go on feet
5556,The rock laid 12 eggs,Rocks don't lay eggs,a rock isn't living therefor doesn't reproduce,a rock is a non living thing
5557,The man cut down the tree with a fork,A fork does not have sharp blades,Forks are used to spear food.,forks are not sharp
5558,The barn was built out of water,Water is not stable enough to build a barn,You can't build structures out of water.,water is not a building material
5559,The boy went swimming in the lava,You can't swim in lava,lava is extremely hot liquid,Lava is intensely hot and dangerous and the boy would sizzle immediately.
5560,The girl got up early to milk the mouse,You can't milk a mouse,Mice do not get milked like cows.,"Mice have milk, but there is no way a person could milk them as they are too tiny."
5561,The baby drove a car to the store,Babies are too young to drive cars,Babies don't have physical or cognitive skills to drive a car.,Babies aren't able to drive
5562,The baker baked his bread in the fridge,A fridge is too cold to bake bread,"The fridge cools things down, not heat them up.",a fridge keeps things cold and does not make bread
5563,The bees made butter in their hive,Butter is made from milk,Bees don't make butter,butter is made with milk
5564,The man flew across the ocean on a pelican,A man is too big to ride on a pelican,a pelican cannot lift a man,A pelican cannot carry a man.
5565,The tree ran in the wind,The tree is attached to the ground,Trees are rooted to the spot.,Trees are stationary.
5566,The cat licked it's wings until they were clean,Wings are not part of a cat,Cats don't have wings,Cats certainly can't fly and wings aren't part of their anatomy.
5567,The janitor used a bucket to sweep the floor,A bucket doesn't have bristels to sweep with,The bucket would be an ineffective sweeping tool.,"A bucket is used for holding water instead of sweeping, a bucket would not sweep anything up off the floor."
5568,"If you want to eat, you should fly a kite",Kites cannot provide food,kites are not food.,Flying a kite doesn't give you food to eat.
5569,A basketball is a type of gun,A basketball does not fire bullets,a basketball is not a gun,A gun is a weapon that is used to fire bullets and a basketball can't hold or fire bulletts.
5570,People live on Mars,Mars' atmosphere doesn't allow for human life,Mars isn't habitated by any life-form.,People do not live on mars.
5571,Wood is a gas,"Wood is sold, gases are not solid",wood is solid,Wood is a solid.
5572,You look at a clock to tell the temperature,A thermometer gives you the temperature,The temperature won't be shown on a clock.,a clock does not tell temperature
5573,Baseballs are made of stone,Baseballs are made of cow hide,Stones are too heavy to play baseball.,baseballs are made of synthetic materials and not stone
5574,She loves to watch movies at the local laundromat.,A laundromat does not have the equipment to show movies.,You go to laundromats to wash clothes.,laundromats are for washing clothes
5575,I ate dinosaur for dinner,Dinosaurs have been extinct for years so they can't be served for dinner.,Dinosaurs are extinct.,dinosaur is not living today
5576,A blanket is used to charge the device,A blanket cannot charge a device,Blankets are used to cover people and keep them warm,"Blankets don't contain electricity, or leads and plugs."
5577,The sky is green is color,The sky can never be green in color,Green is the color of grass and leaves,The sky is blue.
5578,I used an ice cream to keep me warm,Ice cream cannot keep anything warm,ice cream is a cold item,Ice cream is very cold
5579,Use an eraser to shave,"Eraser are used to erase, they have no use when it comes to shaving.",erasers are for paper not your face,eraser is used to erase writing
5580,Ink is used to wash hair,Ink is used to colour an object not clean anything,ink would make your hair dirty,Ink makes hair dirtier.
5581,I used cement to stick the papers,Cement is used to attach bricks to each other not papers,only glue is used to stick paper,cement is for buildings not paper
5582,I poured some sand on my eye,Pouring sand on the eye is pointless and dangerous,sand would hurt your eye,that would be a painful thing to do to yourself
5583,The cat gives sunlight,Cats can't emit any kind of light,Cats do not emit light.,cats do not emit light
5584,The plant has laptops on it,Laptops are not found on a plant,a plant would not support holding a laptop,Plant's can't support a laptop
5585,Water helps you dry off,Water will not help in the drying process,if you have water on your skin you can't be dry,"Water helps you get wet, not dry off."
5586,Put your shark on,Sharks cannot be put on,Sharks are not wearable items.,sharks are not an item of clothing
5587,Speakers can help you hear privately,Speakers would broadcast the sound,speakers project sound throughout the whole room,speakers put sound out for everyone
5588,Biryani is an Italian staple food,Biryani is a food from India,Biryani is a typical Indian dish,biriyani is an indian staple food
5589,Cover the table with Mount Everest,Mount Everest is too big to be used as a table cover,Mount Everest cannot be moved.,Mount Everest is immovable and immense in size compared to a table.
5590,We need a stick to play football,You can't play football with a stick,"The ball must be kicked with feet, not with sticks",football needs a ball not a stick.
5591,A planet is needed to unlock the door,Planet cannot be used as a key for any lock,door can be unlocked only with a key,A planet is a celestial body.
5592,The bookstore is on the moon,There are no bookstores on the moon,We have not established a moon colony yet.,the moon has no bookstores
5593,I used the dog to search for a review,"Dogs are animals, they don't understand the notion of reviews.",a dog cannot be used as a search engine,Dogs cannot speak nor use the internet.
5594,Al cooked a steak for his vegetarian girlfriend.,"A vegetarian will not eat meat, such as a steak.",Vegetarians do not eat meat.,Vegetarian's do not eat meat.
5595,Ed sneezed because he was embarassed.,Being embarassed does not cause one to sneeze.,"Sneezing is due to a tickle in the nose, not an emotion.",embarrassment dos not cause sneezing
5596,Red roses taste wonderful.,Roses taste too bitter to eat.,Roses are not edible.,"Roses are flowers, there are not edible."
5597,Pesto sauce is red because it contains basil.,Basil leaves are not red.,Basil is usually green.,If Pesto sauce contains basil then the outcome for it to be red is impossible.
5598,Paul was a classically-trained violin.,A person cannot train to be a violin.,Man cannot be a violin,A person isn't a musical instrument.
5599,Holly signed up for a calculus class to learn to dance.,Dancing is not taught in a calculus class.,Calculus has no skills associated with dancing.,At lessons of calculus don't learn to dance
5600,"I attended Jane's funeral, and now I will attend Jane's wedding.",No one can have a wedding if they've already had a funeral.,"If it's' the same Jane, she can't be married after she is dead.","if the funeral comes before the wedding, that means that jane is deceased."
5601,The Kimodo dragon landed on the flower.,Kimodo dragons can't fly to flowers.,Kimodo dragons do not fly and they are much larger than flowers.,Kimodo dragon's are larger than flowers.
5602,Santa Monica is a city in China.,Santa Monica isn't in China.,Santa Monica is not in China.,santa monica is a city in california
5603,Cats shave their paws to keep them clean.,Cats aren't able to shave themselves.,"Shaving paws would remove fur, not clean paws.",Cats don't know how to operate a razor.
5604,The six men were Weijun's fathers.,No one can have six men as fathers.,there cannot be more than one father for a person,Weijun can only have one father
5605,I exchanged Manny's birthday for a different one.,Birthdays cannot be exchanged for different ones.,Birthdays are on the same date every year,a birthday is a set date and cannot be changed
5606,My cat likes to be eaten by bugs.,Nothing likes to be eaten by bugs.,Being eaten by bugs is a bad thing so the cat would obviously not like to be eaten.,"A cat would go crazy being bitten, let alone eaten, by bugs."
5607,Ballet found Allison to be very difficult.,Ballet does not judge things to be difficult.,Ballet is a type of dance.,"Ballet is a type of dance, not a person."
5608,You should bring your own store to the grocery bags.,Grocery stores cannot be easily moved around.,"you take the bags to the store, not the store to the bags",Moving a store is impossible.
5609,It is difficult to write with a broken toe.,Toes are not involved in writing.,One does not write with toes.,"You write with your hands, not with your feet."
5610,My cat likes people except for dogs.,Dogs cannot be people.,Dogs are not people.,Dogs are not people.
5611,Don't put diesel fuel into a diesel engine.,Diesel engines need diesel fuel to run.,You should only use diesel fuel in a diesel engine.,diesel fuel powers a diesel engine
5612,"There is only one Mary, and that is Mary's mother.",Mary may not be her own mother.,"There are two Mary's mentioned, so its not possible there is just one.",Mary and her mother are both named Mary.
5613,Tie-dyed teenagers wear t-shirts.,Teenagers cannot be tie-dyed.,teenagers are not clothes to be died,Teenagers can't be tie-dyed.
5614,Bananas like monkeys more than baboons.,Bananas can't like monkeys or baboons.,banana is a non living thing,bananas do not like at all as they are inanimate
5615,The landlord rented the rental from the renter.,The renter rented the rental from the landlord.,The landlord is the owner of the rental.,Renters don't rent properties to their landlord
5616,A mouse wearing Mickey Mouse ears is no longer a mouse.,"A mouse is a mouse, with Mickey Mouse ears,.or without.","It doesn't matter what a mouse has on, it is genetically still a mouse.",a mouse cannot wear mickey mouse ears
5617,The ball had a ball at the ball.,"A ball can have a bell, but not a ball.",the ball is a non living thing,A ball is an object and cannot have fun.
5618,"For breakfast, I like to eat a boiled shoe on toast.",Shoes are not good to eat for breakfast.,Shoes are not food.,shes are no edible
5619,Dog owners should keep their dogs on kitchen tables in public.,There usually aren't kitchen tables in public places.,dogs are usually kept on leashes,kitchen tables are not for dogs
5620,Everyone should get stung by a bee every day.,There is no benefit to getting stung by a bee.,Bee stings are painful and dangerous,No one should be stung by a bee on purpose.
5621,My dad likes to drive while he plays guitar.,My dad only has two hands.,You cannot drive and play guitar at the same time.,you cannot drive and play the guitar at the same time
5622,"A year after my brother turned 40, he turned 21.","Every year, my brother gets one year older.",The number 21 comes after 20,he would turn 41
5623,"The more you eat, the smarter you get.",Eating does not make you smarter.,"Eating doesn't feed smartness into your brain, it makes you fat.",Eating has no correlation with gaining knowledge
5624,"Alexis spends one hour a day in the bath, to make her skin tan.","A bath will make your skin clean, but not tan.","Bathwater can't make your skin tan, only sun can.",the bath makes you wet
5625,"Alexis spends 24 hours a day in the sun, to make her skin tan.",24 hours a day in the sun will make your skin burn.,Part of these 24 hours a day are actually night when there is no sunlight.,The sun only shines during the day.
5626,My mother's lips are blue without lipstick.,Blue is not a natural color for healthy lips.,A human's lips are not blue.,Only people who are dead have blue lips.
5627,"My mother's eyes are gray, unless she dies them brown.",You can't dye your eyes a different color.,Eyes do not die a color,"Eyes cannot be dyed, only have contacts placed on them."
5628,We have gray dinosaurs living in our backyard.,There are no dinosaurs alive today.,Dinosaurs are extinct so the statement doesn't make sense unless they're plastic or toy dinosaurs.,Dinosaurs are extinct.
5629,Bears' fur is pink because they eat pink food.,"Bears' fur is never pink, no matter what they eat.","Animals are not literally what they eat, or the color they eat.",bear does not eat pink food
5630,"To make my car stop, I squeeze the brakes on the handlebars.",Cars do not have handlebars.,the brakes in cars are on the pavement under the steering,car has brake on footbar
5631,"If a car hits a pedestrian, the pedestrian might get warts.","Warts are caused by viruses, not by getting hit by cars.",pedestrian will get hurt if hit by a car,Warts are not caused by impacts with objects.
5632,"My family has four members: my mom, my dad, and me.","My mom, my dad, and me are three people.","If you are an only child with two parents, you have three members in your family.",There are three members of the family.
5633,The sun can shine in the day or in the night.,The sun only shines during the day.,The moon is out at night and not the sun.,the sun is not out at night
5634,"If you go out of town for a week, no one should feed your pets while you're away.","Pets need to be fed every day, whether you're home or away.",your pets need food or the will starve,if pets are not fed they may die
5635,My sister and I can wear each others' noses.,Noses can not be shared between sisters.,Noses are part of the person's body.,your nose belongs to you
5636,I often wear a blue car on my head.,A car is too heavy to put on your head.,Cars are too heavy to wear.,a car cannot be worn as a hat
5637,My brother took Miranda out on a date to the planet Neptune.,Neptune is much too far away to go on a date.,Interplanetary travel to Neptune isn't possible even for astronauts.,it is currently impossible to travel to neptune
