id,FalseSent,ref1,ref2,ref3
1148,chris lived at the bus stop,bus stop can't accommodate anyone,Bus stop where buses stops there we can't live,
1149,our teacher told us to make more mistakes in the study,to make mistake is not good in study,teacher will never say to make mistakes in the study,Teachers will ask us to not to make more mistakes
1150,she made a beautiful cloth for the dinner party,a cloth can't be worn for any occasion,Dinner parties require food preparation.,You can't eat cloths at a dinner party
1151,the advanced auto machine will cost us a lot of labor,using a machine is to replace labor,ADVANCED MACHINE  WILL COST LEAST LABOUR,The point of the machine is to take away the labor.
1152,his success is due to his poor work,a poor work will not be thought highly of,Poor work does not equal success.,Success depends on good work ethic
1153,he turned to his teacher for a question in the exam,students are not allowed to discuss during an exam,In exam we can't turn to anybody for a question,Students don't get help during an exam
1154,he tried hard to succeed to frustrate his parents,people's parents naturally want them to be successful,frustrating people is not something that should be tied in with success,Parents want their children to succeed.
1155,adults are not allowed to drink beer,adults are old enough to decide whether they want to drink beer,if adults are not allowed to drink beer then who would drink beer?,beer is allowed do drink only to adults.
1156,people became ignorant after they read the news,people learn from what happened in the world,reading news enhances knowledge of a person,people became know after they read news
1157,caroline asked her dog a name,a dog can't answer any question,Dogs can't talk and provide their name,A dog cannot speak.
1158,he prevented the car from going on the road,the road is for cars to go on,Road is the place where car goes We can't prevent,Cars are intended to move on roads.
1159,franklin is dancing in the choir,a choir has several singers and performs singing,A person would not be dancing in a choir as a choir is a group of people who sing as an ensemble.,"Most choirs sing, they don't dane."
1160,Fiona wrote a shopping list after she went to the supermarket,a shopping list is a reminder of things to buy,everyone will write shopping lists before going to supermarket,After went to supermarket there is no need to create a shopping list as it is already in mind.
1161,police officers enjoy eating donuts in an emergency,police officers don't eat anything when they are handling emergencies,Police officers are in a rush during an emergency.,Police officers stop eating when an emergency arises.
1162,jill wrote a book with monsters,monsters don't write as human do,Monsters aren't real,Monsters don't exist.
1163,she flew on a fly abroad,a fly is too small to be a transportation,humans can't fly on flies,Nobody can fly on a fly
1164,we talked too much that we all puked later,conversations don't cause puke,Only talking do not puke humans. If puked on-spot on later.,Talking does not make you throw up.
1165,tucker overdosed on candy,eating too much candy is not overdosing,You cannot overdose on candy,Candy is safe to eat even in large quantities
1166,he got dirty after he bought the house,buying a house doesn't make you dirty,buying a house doesn't cause one to get dirty.,please got complete clean house
1167,Ariel wanted to surprise Beth by calling her a puppy,calling someone puppy won't make him feel surprised,Beth would not be surprised by being called a puppy.,I think puppy should be a dog and not be able to be called. Puppy is a dog no one could be happy with that name.
1168,larry put his swimsuit on for the meeting,a meeting doesn't hold in water,Swimsuits are for swimming not for meetings,People don;t wear swimsuits to meetings.
1169,he put an apple in his mouth,eating an apple requires a few mouthfuls,A whole apple is bigger than mouth.,An apple is bigger than mouth
1170,he printed a stamp on the letter,a printed stamp made the letter undeliverable,Stamp is a ready one bought from shop that can't be printed,"We cannot print stamps, only the government can do that; we have to buy them."
1171,alfred stopped at the drive-thru for a lobster,a drive-thru only serves fast food,I've never seen anywhere you could get lobster in the drive-thru,"Lobster requires considerable time to prepare, and so generally wouldn't be available at a drive-thru."
1172,"on the day of the concert, we went to the dining hall very early for seats",concert seldom hold in the dining hall,Concerts aren't held in dining halls.,In concert we have to go hall where programme done
1173,they bought paper made of steel,steel is not a good material for paper,"Paper is not made out of steel, and can not be made out of steel.",Paper can only be made of paper
1174,they hung out at the meeting room,meeting room doesn't provide entertainment,THEY CAN MEET IN THE MEETING ROOM NOT HUNG OUT,Meeting room is a place to discuss something important.
1175,joey used a mop to dry himself,mop is used to absorb water from the floor,"Mops are used for cleaning floors, not people.",Mops are wet and aren't used to dry a person.
1176,wildfires are controlled by street fighters,street fighters don't know how to put out a fire,Wildfires fires are controlled by fire fighters.,"It's FIRE fighters that try to control wildfires, not street fighters."
1177,honey can understand each other's dancing,honey is inanimate and can't dance,"honey is a substance, it can't understand",honey is a non living thing which can not understand dancing.
1178,he looked at the watch worn on his waist,a watch is too small to be worn on one's waist,"You wear a watch on your wrist, not your waist.",Nobody wears a watch on their waste.
1179,sleeping pills keep him warm in the wild,sleeping pills only make people feel sleepy,Sleep pills have no effect on the bodies temperature,Sleeping pills gives only sleep
1180,a secret is something that everyone knows,people don't usually tell the secret to everyone,A secret is private.,"If everyone knows, it becomes a news"
1181,he ate too much that his fart was sweet,no fart has a good smell,Fart is unpleasant odour that can't be sweet,eating too much does not determine the scent of a fart.
1182,he chewed his food without swallowing,food won't enter our stomach without swallowing,Without swallowing we can't complete chewing,swallowing is the process which comes after chewing the food.
1183,he brought his gum for the hunt,gum is of no use in a hunt,He likely brought his gun for the hunt.,you don't need gum for hunting
1184,the yard was wet after several days of sunshine,sunshine brings energy to dry the yard,If there was sunshine for long days yard can't be wet it must be dry,The yard would not be wet after several days of sunshine.
1185,the ship sailed across the iced waters of the Atlantic,a ship can't sail across the ice,Ships can't sail on ice.,In iced water ship can't move
1186,the ship turned sharply to get a collision,a ship may sink after a collision,ships would not purposefully try to be in a collision,"The ship should turn away from a crash, not turn to get into one!"
1187,the artist added more melodies on his painting,melodies are elements in music,Melodies can be added only in music not in paintings,"Artists don't add more melodies, but musicians do."
1188,he found a bat to play soccer,bat is not used in a soccer game,You don't use a bat when playing soccer.,"You kick a soccer ball, not hit it with a bat"
1189,peter is walking on the river of the bank,a bank doesn't have a river and a person can't walk on a river,People cannot walk on water.,
1190,the student attended several lectures to teach different professors,a student doesn't find ways to teach professors on purpose,"Professors teach during lectors, not students.",Professors teach students.
1191,all the guest of the party sat onto the cake,cakes are too soft to be a seat,Party guests don't sit on the cake.,People do not regularly sit on cake
1192,mia got a discount on her groceries so she spent more money,a discount means you don't spend more money than the prices of your groceries,a discount means saving money,"Getting a discount means you spend less money, not more."
1193,the sun is rising and it's getting dark outside,the sun brings light that dispels the darkness,If the sun is rising then it is day time and there would be more light.,It cannot be dark if the sun is out.
1194,the conversation is at the beginning so I hung up the phone,having a conversation over phone requires someone the hold the phone,you don't hung up the phone at the beginning of the conversation,"You get on the phone to have a conversation, why get off at the beginning?"
1195,a canal was constructed next to the farmland for flood,a flood is bad for farm products to grow,A canal is not used for flood  relief.,"people build canals for transportation, not to purposefully flood lands"
1196,the skydiver glided safely to the seabed,a skydiver can't glide in the sea,Skydivers land on the surface from air.,the skydiver are seabed to the glided
1197,after becoming immune to the disease the baby received the vaccine,the vaccine helped the baby to be immune to the disease,the vaccine is received in order to become immune and not after it,Here vaccination does not needed after becoming immune to the disease
1198,todd opened the window to let the fresh air out,most fresh air comes from outside,You open windows ti let fresh air in,When we Open the window fresh air comes in
1199,the dog chased the cat up the tree,dogs don't know how to climb a tree,The dog and cat walk only the land.,dogs cannot run up trees
1200,jane painted a chair and sat on it,a painted chair needs some time to dry,you can't sit on a painting,"Jane should not sit on wet paint.""HITId"
1201,lily ordered a steak at a vegetarian restaurant,vegetarian restaurant only serves vegetarian food,Vegetarian restaurant sells only vegetarian foods,steak is not served at a vegetarian restaurant
1202,he wanted to lose weight to fit into future clothes,future clothes don't have a fixed size,he would lose weight to fit into his current clothes,He would be losing weight to fit clothes he doesn
1203,"there is a huge, splendid cattle standing on the top of the hill",a cattle can be strong but not splendid,Huge cattle are too big to walk to the top of the hill.,Cattle means cow
1204,he found cash of one million dollars in his wallet,cash of one million dollars can't be put in a wallet,1 million dollars won't fit in a wallet,in wallet we cant have cash to see its a digital
1205,he parked his car in the wrong place so he was asked to sell it,people who park illegally won't be punished to sell the car,wrong place car parking leads to fine not sell,You don't sell your car just because it is parked in the wrong spot.
1206,sally hatched some eggs for the Christmas eggnog,eggs hatched will become chicken which can't be used for eggnog,A hen can only hatch the eggs,sally cant hatch an egg
1207,cindy said she was too good to go to school,if a student feels good he should go to school,if she goes school she is good only,Going to school does not determine someone's quality as a person.
1208,the old man was praised for littering in public,people won't be praised for bad behavior in public,praise is not given for littering,Littering in public in not a good or kind act. We should not be littering at all.
1209,jones gained some weight and his clothes fit loosely,when people lose weight they become slim,"when people get fat, clothes fit tightly",Clothes fit tighter when you gain weight
1210,he left his dog in his office when he headed for work,when people work they are usually in their office so the dog is not left,Dogs are left at home while going to job,A person's office is most likely to be in their place of work.
1211,the government built an aircraft roadway in the train station,aircraft roadway only allows planes to take off and land,A roadway for an aircraft would be out of place in a train station.,aircraft roadways are built in aerodram
1212,the girl licked her fur carefully,the surface of a girl's body is skin,Girls don't have fur.,Human beings will not have fur in their body
1213,to accommodate the bugs he converted the sofa into a bed,bugs are usually small and they don't need a bed for human,one does not accomodate bugs,Sofa is not for accomodating bugs its to sit
1214,my hands are tired because I have been standing up all day,people don't use hands to stand up,Hands don't get tired from standing,"Standing up all day, legs will get tired"
1215,joanna made a pot of chill for dinner,chill is about temperature or feeling so it's not edible,pot of chill cant be taken for dinner,Chill is to relax and unwind.
1216,penguins are fish that cannot fly,penguins belong to a kind of bird,"Penguins are not fish, they are birds.",Penquins are birds
1217,I attend a class in the principal room,the principal room can only contain a small number of people,Classes are conducted in the class room,"Classes should be in classrooms, not principal rooms."
1218,one of the common reasons for flight delay is the mood of the pilot,pilots are not allowed to bring their moods to work,Pilots use only their brain while driving,the pilots mood does not delay a flight
1219,in windy days everyone had to hold onto their shoes,wind usually doesn't blow off your shoes,wind will not only take away shoes,Shoes don't come off in the wind
1220,after cooking I put the plate in the sink,plates are used to contain food,The plate was not used to eat off of yet and would still be clean not dirty like dishes in he sink would be.,"The plate has food on it to eat, it would be pointless to just put it right in the sink."
1221,the boy read the novel aloud to his blind grandfather,a blind person doesn't need louder sounds to hear clearly,The boy read the novel to his blind grandfather loudly.,for blind we can read novel in normal voice not aloud
1222,after a long time of walking my foot went numb,walking accelerates the blood circulation in the foot,This statement is against common sense because a foot only goes numb when there has been no activity using said foot.,Numbness in the feet would not necessarily be caused by walking.
1223,the photographer skipped the moment when the kids smiled,a photographer usually takes photos of people having positive emotions,"This statement is against common sense because the photographer should be capturing the moment when the kids smile, as smiles are a huge reason for taking the picture to begin with.",kids smiling is most important in photography so photographer wont miss
1224,I slipped on the cracked floor,cracked floor has greater friction than a flat floor,a cracked floor is not slippery,we cant slip on cracked floor
1225,the bar closed early because it was crowded,a popular bar doesn't close early,if they bar was crowded they would be making a lot of money and want to stay open,"This statement is against common sense because if a bar is crowded, that means money is being made."
1226,he got pulled over by the police when he was parking,parking is an action of stopping one's car,"Getting pulled over implies stopping on the side of the road, but parking does not happen on a road.",you cannot be pulled over of you are already pulled over
1227,the kid was spoiled and ran away from home,if a kid was spoiled he was likely to stay in this comfortable situation,"This statement is against common sense because if the kid was spoiled, he would not want to run away.","if a kid is spoiled, he will not run away from home"
1228,bosh realized he forgot something when he looked at his watch,a watch is used to record time and people look at their watch for the time,"A watch would not serve as a reminder to someone, most likely.",You look at your watch to see the time
1229,the bartender refused to serve the lonely patron,many people went to the bar on their own for a drink,The patron's loneliness has nothing to do with his ability to pay.,A patron would not be refused service because of loneliness.
1230,the student received detention for his excellent grades,students who get good grades don't get punished,"Detention is for doing something bad, not excellent grades.","students should be rewarded for excellent grades, not punished"
1231,a train went through a bridge and the inside of it went dark,a train on a bridge can still receive the sunlight,bridges do not cover light,the inside of train have lights in them
1232,the turtle hid in its shell to hunt a fish,hiding in the shell is a way to protect itself,A turtle cannot hunt fish while in its shell.,in shell it cant eat fish it must come out
1233,the girl handed down her clothes to her elder sister,an elder sister usually wear clothes of larger sizes,Hand me downs usually go to younger and/or smaller people.,Hand me downs go to younger siblings
1234,the bomb was defused when the terrorist set it off,to set a bomb off is to make the explosion happen,It couldn't be defused if set off.,The bomb was set off when the terrorist set it off.
1235,the food he dropped was cooked by his dog,a dog doesn't know how to cook,dog can not cook food.,dog cant cook food as it is animal
1236,the book was deemed inappropriate for human,books are created for human to read,Books are not inappropriate for humans.,Books are meant for humans
1237,the driver made a wrong turn and the trip took a shorter time,a wrong turn usually cost a driver more time to come back,taking the wrong road should increase the trip time,A wrong turn takes you away fron the direction you want to go and would not get you closer.
1238,after I replaced the batteries the flashlight was dead,new batteries provide power to make the flashlight on,flashlight should work with new batteries,New batteries should work.
1239,I scratched my skin to relieve scar,scratch causes a scar on human skin,scratching will worsen a scar,"Scratching one's skin would create scars, not heal them."
1240,the burglar broke into my house without calling me up,a burglar doesn't call before his theft,Burglers will not call up and break into any house,Burglars would not call to inform people they are breaking in.
1241,jason held the door for the woman entering before him,he didn't have to hold the door for someone passing before him,One cannot hold a door for someone entering in front of them.,"jason cannot hold the door, he should open it"
1242,the mirror in the bathroom fogged up after she applied her makeup,a mirror in the bathroom got fogged up usually because the air is humid and warm,The mirror should only fog up when hot water is running.,After applying makeup mirror won't get fogged
1243,the security guard let the man pass for his sneaky behavior,a security guard won't let anyone who's behaving strangely pass easily,Sneaky behavior would get you stopped by security,Sneaky behavior would not give someone a pass from security.
1244,the driver rotated the steering wheel and the car halted,the steering wheel controls the direction of the car,rotating the steering wheel would turn the car,by rotating steering car wont halt
1245,my shirt was tidy so I ironed it,to iron clothes is to make them tidy,Shirts that are messy are ironed,"This statement is against common sense because if your shift is already tidy, there is no reason to iron it."
1246,the patient is getting worse so the hospital sent him home,a hospital aims to help people no matter how bad the situation is,hospitals sent home patients who are getting better,"If he's worse, he needs to stay."
1247,we found no seats in the theater so we sat down,people are not allowed to sit on places other than seats,Theaters never allow people to sit down,"If there is no more seat in the theaters, there will be no more seats available to sit down on"
1248,the woman received an admission after she graduated,after admission a student needs to gain several credits to graduate,You don't need admission i you've already graduated.,No one gets admission after graduated from college.
1249,emily came upon a river on the sidewalk,a river is too big to be on a sidewalk,"This statement is against common sense because you don't just come upon a river on the sidewalk, as the sidewalk is on dry land and water is not.",a river doesn't come to sidewalk
1250,she covered her ears at the smelly smoke,people can't sense any smell with their ears,Ears are use for listening to sounds and the smoke will be detected by our nose.,ears don't smell smoke
1251,the audience booed the comedian off the stage for his humor,the audience liked a comedian with a sense of humor,An audience does not boo an act if they are enjoying it.,a comedian should be praised if he/she is funny
1252,the coach gave the referee a high five,a referee doesn't usually interact with a coach,the referee is not part of the team,coach and referee cant give high five they are opposite
1253,bob said my breath smelled of garlic so I wiped my mouth,a breath came from inside the mouth,"This statement is against common sense because wiping your mouth cannot take away a certain smell, perhaps brushing your teeth could.",Wiping your mouth doesn't get rid of bad breath
1254,alex was lost so he drew a map,a lost man can't draw a map,A lost person would probably not be able to draw a map to help themselves.,He didn't know where he was.
1255,tina pushed the gas pedal to open the car door,gas pedal controls the oil tank of the car,you do not push the gas pedal to open a car door,"the gas pedal makes the car go forward, not open the door"
1256,sarah got away with the crime because new evidence was discovered,if evidence is discovered the truth will be discovered,evidence should incriminate sarah,"New evidence would help convict someone of a crime, not acquit them."
1257,I wiped the book with a tissue and the words on the cover came off,words are printed on books and they will not be wiped off,"While wiping any book with tissue, words will not come out",Book ink is tough and a tissue would not wipe it off.
1258,the student chewing gum in class was forced to swallow it in,gum is indigestible so people usually don't swallow it,"Someone caught chewing gum in class would likely be asked to spit it out, not to swallow it.",SWALLOW A CHEWING GUM IS DANGEROUS TO HEALTH
1259,jane brought her ID so she was denied entrance into the bar,people should be allowed to enter a bar with their ID,ID is specially for meant for entering a premisis,Proof of ID would grant her entry into the bar.
1260,a comet passed by the moon and a crater formed on it,a crater formed when a larger substance comes into contact with a smaller substance,a comet passed by the moon and a crater formed on it,Crater cannot be formed on the  moon by a passing comet.
1261,the benefactor requested to stay anonymous to maintain his reputation,to maintain one's reputation he should use his real name in charity,Being a benefactor typically results in a positive impact on a person's reputation.,benefactors are recognized to maintain their reputation
1262,janice felt ashamed of the smile on her face,a smile is a natural expression so it shouldn't be ashamed of,A smile would not cause someone to feel shame.,smiling is a sign of happiness and should never been a thing to be ashamed
1263,the x-ray showed that his arm was painted,an x-ray can't detect people's skin,"This statement is against common sense because the x-ray would not be able to show paint on the outside of the skin, as x-rays are used to see bones within your body.",x-rays show broken bones
1264,the boy filled the bucket with air,air is everywhere so it's already in a bucket,air will not fill a bucket,"This statement is against common sense because you cannot fill a bucket with air as the air is already existing around everything, and it's not something you can ""fill up""."
1265,taylor downgraded her computer hardware for a better experience,an older version of computer hardware is usually less efficient,downgrading hardware means you are getting worse experience,"This statement is against common sense because when you downgrade something, it typically means the quality or experience is decreased."
1266,after a religious awakening she began to travel around,travelling around is not a sign of religion,she can travel even without religious awakening,Traveling is not related to religion
1267,I threw away some unnecessary contents and the drawers became cluttered,it was unnecessary contents that made the drawers cluttered,drawers cannot become clutter with contents.,"Throwing away items would create space, not clutter it up."
1268,the student flaunted his test grade to his pets,someone¡®s pets don't understand his show-off,His pets will not know what he is talking about,pets do not understand test grades
1269,the boy felt homesick at his parent's,homesick is a longing for one's home during the absence from it,Homesick is missing their parents,The boy felt homesick at a stranger's house.
1270,she designed a rocket and then it flew up into the sky,a rocket requires some time to be assembled,A designed rocket will never fly,Rockets don't fly they launch
1271,the boy murmured his reply when his mother told him to speak up,to murmur is to make a soft and indistinct sound,Murmuring would be low voiced.,A murmur is quiet.
1272,he put the tree he just bought into the vase,a tree is too large to be put into a vase,A vase can hold some flowers only.,A tree would not fit in a vase.
1273,the lipstick on his cheek implied he blushed in front of a woman,blush is from inside while lipstick needs to be applied,Lipstick on someones cheek does not imply that he blushed in front of a woman,"Lipstick is worn on the lips, rouge is worn on the cheeks."
1274,the gardener put seeds in the soil to make his plants flourish,seed grow at a normal rate in soil without additives,Plants grow from seeds they do not make plants grow.,you put seeds in soil to make plants grow
1275,the pipe burst because the water was unsanitary,the effect of dirty water is the same as clean water,A pipe would burst because the pipe was frozen.,pipes burst because of water pressure
1276,the company lost money due to its positive consumer reviews,positive consumer reviews lead to more buyers therefore increase the sales,If it has positive reviews it should make money.,Positive consumer feedback would be likely to increase a company's revenue.
1277,ben woke up with a toothache so he skipped an appointment with his dentist,if he skipped the appointment with his dentist his toothache may not relieve,ben woke up with toothache so he has an appointment with his dentist.,If we have tooth ache we have to fix an appointment not to skip
1278,the team lost the game due to the injury of the referee,a referee didn't play for any side of the game,The referee isn't a player,injury of referee  doesnt affect the game only players will affect
1279,children are not allowed to watch the movie because it's animated,animated movies are usually for kids,animated movies are meant for children,animated movies are primarily for children
1280,paul deleted the email for it's an important emailfalse : 1,an important email shouldn't be deleted because the information would disappear,paul deleted the important email for it's false.,"This statement is against common sense because if the email was important, Paul would not have deleted it."
1281,the student's grade was higher for the incorrect answer on the exam,"each answer was worth several points and if it's incorrect, the points will be subtracted",Incorrect answers mean lowers scores,There's no reason for an incorrect answer to result in a higher grade.
1282,the toddler started crying with his favorite toy,the toy one liked most would please him,he wouldn't cry if it was his favorite toy,"if I toddler has his toy, he is happy and will not cry"
1283,monica pushed herself off the top of the slide and crawled up,the top of a slide is usually the tallest place on the slide,"You cannot push yourself, but you can only fall off.","You slide down slides, you don't climb up"
1284,humans fly in the sky,humans do not have wings,Humans can't fly.,Humans can't fly
1285,he eats a table for dinner,people cannot eat table,People do not eat tables because they are not food.,You can't eat a table.
1286,I write with a comb,comb cannot leave a mark on the paper,A comb is not a writing utensil.,"This statement is against common sense because you can not write with a comb, as a comb is using to brush your hair and it does not have any ink or lead in it."
1287,he peels an apple with cotton,cotton is not sharp enough,cotton is too soft to peel anything,cotton is to soft to peel an apple
1288,I enjoy dancing shows in radio,radios do not have screens,he was enjoy with dance show in radio,Radio is just audio and it's not possible to see if anybody is dancing.
1289,Strikes will bring convenience to people's lives,Strikes sometimes paralyze many living facilities,strikes are not convenient,"strikes cause inconveniences, such as interruption of public services"
1290,you give objects when you go shopping,sellers are usually the one who give objects,This statement is against common sense because you receive objects when you go shopping.,You buy objects when shopping.
1291,he runs errands to spend money,You usually get paid for running errands,Running errands is to get items,Spending Money No need to run
1292,"If you want to get a question, you will use a calculator",people only use the calculator to get an answer when they have a question,calculator gives answer of your questions not question,Against commmonsense because get a question no need calculator.
1293,You will sleep more if you want to get somewhere,sleep will not enhance your academic education,getting somewhere requires to be awake,Sleeping gets you nowhere.
1294,you feel sleepy when you advance into a battle,war is dangerous and can refresh people,"One would be alert when entering a battle, not sleepy.",You feel alert when you advance into a battle.
1295,You would cool off because you want to feel more exciting,coolness is not exciting,Iam not tensed when i was excited,Cooling off means calming down
1296,You would hang out at school because you want to drink with friends,school doesn't offer drinks to people,you don't drink at school,A school would never allow students or staff to drink on the premise.
1297,he closes his eyes while reading a magazine,you cannot see anything with closing eyes,Closing one's eyes would restrict their ability to read.,it is impossible to read with eyes closed
1298,You would buy something big because you want to carry it with you,It's inconvenient to carry something big,something big cant be carried with us,Big things are hard to carry
1299,Usually you need to invite animals to a party,people usually have a party with other people,Animals do not receive party invitations.,animals are not invited to parties
1300,he needs to pay the cost of admission to go to the hospital,hospital doesn't have a cost of admission,Hospitals do not have an admission fee.,It doesn't cost anything to be admitted to the hospital; you pay insurance afterwards.
1301,he danced to ride his bicycle,dancing cannot make the bicycle move,you do not dance to ride a bicycle,Dancing does not enable one to ride a bicycle.
1302,He used a torch to cool the freshly cooked beef,torch give out a quantity of heat,A torch is hot it would not cool the beef.,torches do not cool things
1303,"I'm too full for lunch, so I'm going to eat more",people cannot eat anything when they full,You stop eating when you're full,"Fullness causes people to stop eating, not to eat more."
1304,Today's knowledge is too simple for me to understand,people can understand better the knowledge which is easy,"if something is simple, it will be easy to understand",If it were simple you'd understand it.
1305,People usually read books they are not interested in,People are more willing to do things of interest,People are usually interested in books they elect to read.,People don't read books that bore them.
1306,You can practice English by speaking more Spanish,Spanish differs from English,"By speaking more spanish, one cannot practice spanish and not english",Spanish isn't going to help you practice English as they are diferent languages.
1307,It is especially good to harm a child,It's wrong to hurt others,harming a child is not good,Children are tender so we should be kind to them
1308,You would enjoy the company of your friends because they like the people you hate,Your friend will make you unhappy if he likes someone you don't like,"Having friends is not about hating the same people, it's about sharing your common interest and having each others back",One's friends don't usually like their enemies.
1309,babies are bigger than adults,Babies occupy less space than adults,Adults are full grown and babies are not.,"This statement is against common sense because babies are absolutely not bigger than adults, as they are infants and weigh less than 10lbs."
1310,You are likely to find a bird in a burrow,birds live on trees,Birds are not found in burrows.,"bids live in nests, not burrows"
1311,Something that might happen as a consequence of answering questions is you are dead,Not answering questions does not kill people,You don't die from answering questions,"that is highly unlikely, answering questions is seen as safe"
1312,You would go to a film because you want to be nervous,film make people happy,You would go to a doctor if you want to cure nervousness,Seeing films is a leisure activity and do not make people nervous.
1313,Standing in the snow makes you feel hot,The temperature is low on snowy days,It's cold when it snows.,Snow is cold
1314,boats sail on the sky,"A ship has no wings, so it cannot fly in the sky",Boats don't fly.,Aircraftss fly on the sky.
1315,I feel dirty after taking a bath,taking a bath is used to make people clean,baths make you feel clean,You are clean after taking a bath.
1316,Everyone has the same skin color,There are different colors of different races,Human beings will have different skin colors,People have many different skin colors.
1317,harder tires grip better in wet weather,Harder tires friction is small,"This statement is against common sense because wet weather causes all tires' performance to decrease, due to the ground being wet and slippery.",harder tires are slicker during wet weather
1318,Disabled people's life is convenient,disabled people cannot do some normal things,because they have major limitations compared to normal people,This statement is against common sense because having a disability is not a convenience as the disability inhibits something you normally would be able to do.
1319,Often do not eat breakfast will make people healthy,Do not eat breakfast will make people malnutrition,"By eating regular breakfast, one will be healthy",If people didn't eat breakfast often how will they become healthy.
1320,Most boys make up,boys do not like to make up,Girls using make up form the majority,Boys dont do make up girls only do.
1321,Human beings should destroy the environment,Human beings need a good environment to survive,Human beings should save the environment not destroy the environment.,Humans should be encouraged not to harm the environment.
1322,People should play pirated games,It is against the law,it is considered stealing to use all pirated products,Pirated games are illegal
1323,"I did not water the flowers, so it opened very well",flowers need water to live,"Flower would die, not open, if not watered.",Flowers need water to bloom
1324,I want to go out for a picnic in bad weather,Only in fine weather you can have a picnic,Picnics are outside in nice weather,Picnics in bad weather would be awful and nearly impossible
1325,"Cooking is a very boring thing, so I like it",people do not like things they are not interested in,"Someone would not like a boring thing, they would like an entertaining thing.",if something is boring you don't like it
1326,"I never exercise, so I am very healthy",doing exercise make people healthy,never exercising is not a way to get healthy,people who do not exercise are unhealthy
1327,Eating a lot makes me thin,eating a lot makes people store fat,eating a lot make heavy/fatty  not thin,"Eating a lot will make you big, not thin."
1328,I want to have my hair cut because my hair is too short,A haircut shortens a person's hair,cutting your hair will not make it longer,"Haircuts are used when hair is long, not short."
1329,I like to fail,failure make people depressed,"Nobody likes to fail, everyone would love to be succesful",NOBODY WANTS TO FAIL
1330,a winter day would make you want to fly a kite,winter is cold to get out,It would be too cold to have fun flying a kite.,It would be impossible to fly a kite in the snow .
1331,You are likely to find a piece of bread in a furniture store,furniture stores do not sell bread,bread could be found only in bakeries,you are likely to find furniture in a furniture store
1332,He put a basketball in the printer.,there is no room for basketball in the printer,A basketball does not belong in a printer.,Basketballs don't go in printers
1333,You parked the boat in the garage,the boat cannot park in a garage because it is no water there,A boat will not fit in the garage .,My garage is not in river.
1334,a lot of people get hurt in sleep,"normally, sleeping is safe for humans",It's almost impossible for someone to get hurt in their sleep because they aren't doing anything.,"sleeping is safe, you do not move in your sleep"
1335,it is normal for people to use radio to play games,there are few games on the radio,you cant play games on a radio,radio is for listening music and news not for playing
1336,The space shuttle needs water to fly,water cannot give enough power to push the space shuttle,"This statement is against common sense because space shuttles go into the air, where there is no water unless it happens to be raining.",space shuttles do not need water
1337,Your father gave birth to you,the male cannot conceive,Father's can't give birth.,fathers do not have babies
1338,he usually goes to the gym to sleep,people seldom do that,Gym is especially meant for exercising.,you go to the gym to work out
1339,people often go swimming in a car,there is no water in a car,in car we can go only driving,people go swimming in pools
1340,he uses a stone to clean himself,the stone is too hard for that,water is used for cleaning,Scrubs are used to clean ourselves
1341,He cooked a meal in a paper pot.,Paper cannot withstand the heat of the fire.,Paper pots soak easily while cooking,Paper pot will burn If we cook in that
1342,people usually dream when they are awake,people cannot dream without sleeping,Dreaming only occurs in sleep so it's impossible to dream while awake.,people dream when they are asleep
1343,he married a woman that he hated,people usually do not married with another one they don't like,You don't marry someone you hate,
1344,he uses a lot of water to post a message,water can not be used to communicate with people,One sends message not by using water,This statement is against common sense because water can not be used post a message.
1345,students enhance their academic abilities by sleeping,sleeping is not helpful for the education,"This statement is against common sense because students can only enhance their academic abilities by learning and being hands on, not by sleeping.",by sleeping we cant enhance any abilities
1346,he uses water to warm himself,Water does not have enough high temperature.,"Water cools a person off, does not warm them.",heat is used to warm ourselves
1347,he is drunk because he sleeps a lot,sleeping cannot make people drank,Excess sleep does not cause drunkenness.,Sleeping does not make people get drunk.
1348,He braked with his left foot while driving.,The brakes are on the right side of the cab.,brake is always on right side and should be applied using right foot,that would require driving with your feet crossed
1349,he drinks oil when he is thirsty,Oil does not quench people's thirst,oil is not for drinking,water is used to drink when thirsty
1350,Eating more vegetables will kill people,Vegetables are nutritious and healthy,no one sells vegetables that kills,eating vegetables is good for you
1351,Getting enough sleep can make you exhausted,Sleep can make people rest and not feel tired,This statement is against common sense because getting enough sleep usually means you are well rested.,One can feel fresh after having enough sleep
1352,Cutting short strings makes the guitar sound,You can't play the guitar without strings,guitar sounds are not made by cutting short strings,cutting strings does not make a sound
1353,Pour ink into the washing machine to wash clothes,Ink stains clothes,in washing machine we have to pour washing liquid not ink,Detergent powders are used to wash clothes
1354,Dieting is a way to gain weight,"If you eat less, you will lose weight",You generally lose weight when dieting.,Dieting would help someone lose weight.
1355,Most people work to spend money,workers will be paid after working,This statement is against common sense because most people work to earn money.,People work to be able to save money for the future
1356,males are those who get pregnant and give birth to the next generation,males cannot conceive,It is females not males who become pregnant and give birth to offspring.,"Males don't get pregnant, womens do"
1357,Divergent attention improves learning efficiency,Distraction can make people careless and inefficient,divergent  decrease the learning,"When a person is not paying attention, they will not learn anything."
1358,Gravity can start an electronic device,Electronic devices need to be energized to start,"This statement is against common sense because gravity is not electricity, therefore it cannot start an electronic device.",Gravity doesn't do anything to electronics
